GeneNames	Score
SEMA3E	4.209967956632e-06
RAC2	4.16499251163655e-06
RCAN2	4.1500081463278e-06
KCNJ2	4.14387430280559e-06
TP53	4.13831213932624e-06
TRAF2	4.12522709872761e-06
MAP2K1	4.07861476865579e-06
ADAP1	4.04743254247083e-06
JAK1	4.03733707567141e-06
CRIPT	4.03719835268425e-06
CHD7	4.02834780531252e-06
EGF	4.00869809572694e-06
PEPD	3.96258932808616e-06
CSK	3.96240800590435e-06
DOK2	3.94724388779538e-06
RAC1	3.94497584612142e-06
KIF11	3.91139332555136e-06
RIN1	3.90335575752293e-06
CBLC	3.88841480744358e-06
RDH11	3.88139583001211e-06
ITGB2	3.86188238589869e-06
ITGA2B	3.86057843024136e-06
LBR	3.84800834345743e-06
MOGS	3.82169344404255e-06
PDGFB	3.81321414966064e-06
CYP1B1	3.794562493406e-06
NPHS1	3.79308151475204e-06
YWHAZ	3.76882616764444e-06
DLG1	3.66218177070066e-06
CYTH4	3.65356001402983e-06
FLT1	3.60675358634778e-06
B2M	3.60318193994023e-06
VAV2	3.59687239112695e-06
IFNG	3.58627366291262e-06
FLT3	3.58398089409341e-06
PTPRC	3.57074484585889e-06
IRS4	3.56708505346102e-06
PXN	3.5406613232668e-06
KLRK1	3.53884027515718e-06
FANCL	3.53653851910266e-06
IL4R	3.5348907347736e-06
KLRD1	3.52085419442444e-06
NR3C1	3.51659811967521e-06
A2M	3.50036310863299e-06
TRAF1	3.48489292151785e-06
HGF	3.46296685075465e-06
GP6	3.44936826004649e-06
TYK2	3.42548660511722e-06
CAPN1	3.39958437565368e-06
UQCC2	3.3979330333763e-06
CREB1	3.38199147884477e-06
ANGPT2	3.35398739116677e-06
PIK3AP1	3.34911307232491e-06
PIP5K1C	3.34813373071999e-06
CD86	3.34532717677478e-06
ITGB4	3.32447145496098e-06
GP1BA	3.25880017102482e-06
FCER1A	3.25550800719711e-06
LAMA2	3.25247050990931e-06
RHOA	3.23678940526074e-06
VAV3	3.2357680417819e-06
RPS6KB1	3.2183906737691e-06
PLCD1	3.21122732725729e-06
CTNND1	3.21088356325614e-06
FRS2	3.19912372545902e-06
MYC	3.19854595679699e-06
NPHS2	3.18968645835951e-06
IFNGR1	3.18068673591945e-06
FGF3	3.15709596059954e-06
TNFAIP8L2	3.14651759163661e-06
ASAH1	3.14023083899154e-06
ATP1A2	3.12025387206134e-06
EP300	3.09498491919852e-06
PIK3R3	3.09118055494749e-06
FGF7	3.07657441850291e-06
CD19	3.05716311985756e-06
STAT1	3.05545446878563e-06
UROS	3.04369326296201e-06
CDH2	3.04203772974384e-06
EFNA1	3.0416000666952e-06
KITLG	3.04086458977803e-06
AFP	3.01104237128858e-06
CCND1	3.00985620061847e-06
CYB5A	2.98909400335946e-06
PRKCD	2.98199532789446e-06
MTOR	2.97935580505201e-06
DAB1	2.94502617220731e-06
IL3RA	2.94081008003898e-06
LEMD3	2.93474078184669e-06
GP9	2.93069217411347e-06
MAPK1	2.92032060983015e-06
PLCE1	2.90669059483689e-06
RRAS	2.90395635331294e-06
HLA-E	2.90070809266374e-06
WASF2	2.89886924768738e-06
SMPD1	2.89622560840063e-06
DVL1	2.89260667283318e-06
CD4	2.89032718528987e-06
IL7R	2.87145069595775e-06
APP	2.86445261089795e-06
S1PR1	2.85301863938825e-06
RASA1	2.85068736310739e-06
CSF3R	2.85058847783881e-06
CDKN2A	2.84939585888426e-06
RRAS2	2.82647923242e-06
LAMB2	2.81132533033506e-06
ACTA1	2.7909440800255e-06
THRA	2.78002313063157e-06
MPL	2.77959405771968e-06
TNFAIP8L3	2.77440102897359e-06
PKM	2.76815637094885e-06
BMX	2.74648251479529e-06
IL6ST	2.73336311255758e-06
VCL	2.72629193512286e-06
RALGDS	2.72107397783267e-06
LIFR	2.69555103532356e-06
DAPP1	2.67851046250245e-06
EFNB1	2.66819382225507e-06
GNAQ	2.64938251781672e-06
MAPK3	2.64251193640266e-06
RELN	2.63073406219955e-06
ARHGEF4	2.62884011966954e-06
PRKCI	2.60069874637254e-06
CREBBP	2.59803799542817e-06
SLA	2.59320275807399e-06
CYTH2	2.58073214266456e-06
FGF20	2.5502099040033e-06
CYTH3	2.5485725339309e-06
CXCL12	2.54594893249355e-06
PLCB4	2.54412194323454e-06
BIN1	2.54040697702284e-06
IL1B	2.50821742461366e-06
INPP5K	2.50610083622901e-06
PIKFYVE	2.49947441433827e-06
SGK1	2.49860306326077e-06
LAMB1	2.47374065195247e-06
PECAM1	2.46750306286305e-06
NGF	2.45893607019814e-06
ERLIN2	2.45650117034347e-06
MTM1	2.45109692465948e-06
GNAI2	2.44655653829418e-06
GNAO1	2.44583846469593e-06
VLDLR	2.43514571767755e-06
SDC2	2.43447799518159e-06
LAMA3	2.41790144405457e-06
LAMA4	2.40978177920897e-06
AKT3	2.40734912465476e-06
FGF9	2.40713980729997e-06
KIRREL	2.40598921917889e-06
GSN	2.39907100705274e-06
NECTIN3	2.39493505914709e-06
AGER	2.39045671531138e-06
GNAI3	2.39041180436537e-06
FGF23	2.38592434465545e-06
ARHGEF6	2.38028259154739e-06
FLT4	2.377371987586e-06
FGF16	2.37688131561312e-06
STAT5A	2.37547373490035e-06
MTMR2	2.37137452178337e-06
IL5RA	2.36718274486026e-06
ROR2	2.35828344607829e-06
ITGA2	2.35647142702678e-06
CHKB	2.33636885157352e-06
AFDN	2.33422722196735e-06
PELP1	2.32943014620139e-06
RHOJ	2.29873696409042e-06
LAMA1	2.29556184153023e-06
GFRA2	2.28902978400652e-06
GP1BB	2.28582238770332e-06
LAMB3	2.28210745948639e-06
NRG1	2.28081665409813e-06
PREX1	2.27699653751854e-06
ZDHHC17	2.27090953033365e-06
GNB4	2.26370864272536e-06
NRG2	2.25548409071964e-06
CASP9	2.24905913247487e-06
CD247	2.24685076771575e-06
PDPK1	2.22238309499221e-06
LAMC3	2.21961775091071e-06
PLG	2.18560167449681e-06
HOMER3	2.1804466937803e-06
CD8A	2.17509643529155e-06
PTK2B	2.17356377586871e-06
FYB	2.16193569913114e-06
RELA	2.14636074341239e-06
PLAU	2.13162054437842e-06
GRAP	2.12393239197577e-06
TRPC6	2.11727080366878e-06
GSK3B	2.10912030459315e-06
LAMA5	2.10841087948312e-06
PI4KA	2.09563253068404e-06
TRAF6	2.08537270263402e-06
PRKACA	2.08218179898906e-06
TNFRSF13C	2.07803217252954e-06
FXYD2	2.07710179249583e-06
UNC5B	2.07201844661536e-06
ETF1	2.07031614913299e-06
LRRK2	2.060294054962e-06
ATP1A3	2.06021072576025e-06
SH2B3	2.03064093764071e-06
RHOC	2.02356489097637e-06
NGFR	2.0129112983262e-06
BAG4	1.98603865249457e-06
LAMC2	1.9740507559816e-06
SLC2A14	1.9565429765515e-06
SHANK1	1.95089142759472e-06
TLN1	1.95083038509068e-06
LAT2	1.94789507865505e-06
CTTN	1.93195647165006e-06
CORT	1.929645124695e-06
IL1RAP	1.92774604956565e-06
MTMR14	1.89156533288259e-06
SYNJ2	1.88896023745116e-06
PSMA7	1.87896861077849e-06
STAT5B	1.87622477759757e-06
RPS6KA3	1.87524137818518e-06
ACTB	1.87282165741977e-06
AGT	1.87122081908785e-06
ILK	1.85554653799982e-06
ARF6	1.85247312664724e-06
CDK1	1.85233777657626e-06
TRAF5	1.84125491764285e-06
PDK1	1.8382263860516e-06
ACTN2	1.82558725342373e-06
PRKCZ	1.82455790901022e-06
FCGR2B	1.81735738307595e-06
MAP2K2	1.81522131537348e-06
INSRR	1.80820635671277e-06
IGF2	1.80438375576698e-06
ATP1B4	1.7911911211589e-06
GNA14	1.77927740972299e-06
GNB1	1.77828772514175e-06
INPP5E	1.77639755905314e-06
GP5	1.77305578326808e-06
FOS	1.77233529899037e-06
ICMT	1.76071332351449e-06
ATP1B2	1.75844316453373e-06
GAS6	1.75834648308017e-06
AMPH	1.74317189752928e-06
IKBKB	1.72727842490583e-06
HSPG2	1.70516480874147e-06
CCR5	1.70479908284379e-06
EPB41L1	1.69970177511513e-06
CUX1	1.68337219028428e-06
PLD1	1.67746114899638e-06
CAV1	1.67334665611218e-06
LEF1	1.6702972366908e-06
SHC3	1.66983373935587e-06
ACKR2	1.66273012965919e-06
TRIM24	1.6622504028768e-06
APC	1.65439628097584e-06
BLK	1.64729030389472e-06
IL1R1	1.63760964542494e-06
BCL2L1	1.6317199139765e-06
SLA2	1.62440937307049e-06
XIAP	1.62436360989377e-06
PGF	1.55869882725005e-06
GZMM	1.55774353233333e-06
ITGB1	1.55255693790029e-06
AURKA	1.53934104340603e-06
RACGAP1	1.5386614346735e-06
TEC	1.53730927193478e-06
DAB2	1.53543814175486e-06
FXYD6	1.5352319895332e-06
HDAC2	1.53264867355319e-06
ZYX	1.53107519278391e-06
AGTR2	1.5258912174106e-06
CASP3	1.5243775818783e-06
KLRC4-KLRK1	1.51835952894069e-06
COL1A1	1.50789109021076e-06
CASP8	1.50335095007299e-06
KCTD4	1.50136747303128e-06
UNG	1.496194090423e-06
KLRC2	1.49553548345666e-06
NCK2	1.49254336615609e-06
MTMR8	1.49112812828028e-06
PAK2	1.48236397332834e-06
TNFAIP8	1.47674863863422e-06
PAG1	1.47599227783894e-06
RAP1B	1.47444714381491e-06
PLK1	1.474303649404e-06
ITGA6	1.47186820544876e-06
SOCS3	1.47168823311645e-06
HOMER2	1.4698713613426e-06
TJP1	1.46978030086964e-06
TCEB1	1.46554015200545e-06
TNFAIP8L1	1.46006206213004e-06
NFKB2	1.44736927396644e-06
APOB	1.44525981176443e-06
NRG3	1.44094931762703e-06
RB1	1.43667710151207e-06
EPHA3	1.43211168204984e-06
CCL8	1.43143114835765e-06
KLB	1.42937118199242e-06
CDH5	1.42504107621797e-06
DVL2	1.42329903630275e-06
HSPA4	1.42037638759813e-06
SELP	1.41936663477539e-06
BTC	1.41910225014539e-06
SHC2	1.41797433440857e-06
EREG	1.41662488735809e-06
NTN1	1.41570409023664e-06
SH3BP2	1.41470693656728e-06
GFRA3	1.41438175625593e-06
MTMR7	1.4123091127168e-06
CD72	1.41156471523312e-06
NRG4	1.41029664260516e-06
CPTP	1.40973547129844e-06
IRAK1	1.40678577236424e-06
MTMR4	1.40668702043077e-06
PARK2	1.39826420185185e-06
PSPN	1.39417762464811e-06
CTLA4	1.39223798574632e-06
CCNB1	1.39078333198919e-06
NRTN	1.38916076111415e-06
ARTN	1.38823324200093e-06
THRB	1.38721853190846e-06
NF1	1.381996202676e-06
PRKDC	1.38138877587054e-06
TRPV1	1.38112451137123e-06
FSTL3	1.38024301519823e-06
THPO	1.37484596080245e-06
AGTR1	1.36857301406069e-06
CHKA	1.36343474212837e-06
CALM1	1.35753078735632e-06
FGF1	1.35589724072866e-06
PTPN12	1.34923769911089e-06
GNAI1	1.34726285811859e-06
SP1	1.34628614557599e-06
PDGFA	1.34576583384948e-06
F11R	1.3454331196674e-06
B3GLCT	1.34485330021204e-06
STAT4	1.34395392161722e-06
PIK3C2B	1.34145033951634e-06
FGF2	1.33866870244339e-06
GFRA4	1.33812650150154e-06
TMEM55A	1.33158161541463e-06
LDLR	1.32843419267795e-06
GFRA1	1.32397069790835e-06
NUDT21	1.32116572063788e-06
PTK6	1.31873519143684e-06
FLNB	1.30769909393836e-06
CCL13	1.30205442105608e-06
ITIH4	1.30097558316965e-06
TMEM55B	1.29922482174339e-06
CXCL9	1.29601307352581e-06
PTPRO	1.29330221282693e-06
CYFIP2	1.29150646735281e-06
NCF1	1.28596775253998e-06
RAP1A	1.28356664971673e-06
DCC	1.27946763969125e-06
MTMR1	1.27790258295659e-06
PTPN22	1.27122749218627e-06
GRB7	1.267433896856e-06
DUSP14	1.26589172347153e-06
YWHAQ	1.25605836894352e-06
TRAF3	1.249337731608e-06
INPP4B	1.24655033879947e-06
MTMR6	1.24470862037348e-06
GCG	1.24115672024392e-06
MYO10	1.23854132466883e-06
TLR3	1.23654850536775e-06
INPP5J	1.23401113264826e-06
NOTCH2	1.23113833979159e-06
AVP	1.23047957246108e-06
TIAM1	1.22889045096511e-06
HNF1A	1.22792359389007e-06
CASP10	1.22699383164216e-06
GDNF	1.22652986428069e-06
SELE	1.22522623447762e-06
OGT	1.22240734985148e-06
DCN	1.22184780090262e-06
INPP4A	1.21872755674748e-06
MRAS	1.21700824537688e-06
NAA10	1.21592793380771e-06
ITGA1	1.21447107829968e-06
PSMD4	1.20689463060715e-06
IL12RB1	1.20680151691819e-06
MAPK7	1.20449151621711e-06
HBEGF	1.20415527080007e-06
PLD2	1.20388424029527e-06
F13A1	1.19973667433224e-06
PTPRJ	1.19802864267109e-06
CEP57	1.19428472913638e-06
COL3A1	1.19404158688115e-06
ATP1B1	1.1926705649486e-06
RASSF1	1.19078473545871e-06
PI4KB	1.18759322965019e-06
CHEK2	1.18694223818895e-06
TERT	1.18460022469724e-06
SGMS1	1.18246386637341e-06
ELANE	1.18117430447777e-06
FBLN5	1.17988860025743e-06
IRF7	1.17220402238537e-06
MAPK10	1.17200684117287e-06
MTMR3	1.16988344729798e-06
HIF1A	1.16647334642671e-06
GRB10	1.16438789390419e-06
BRK1	1.15693922226389e-06
MAP4K1	1.15617572449265e-06
IL10RA	1.15174756146445e-06
CYP27A1	1.14945678700863e-06
FCRL3	1.14813583138122e-06
IL4	1.14274103366843e-06
CCND3	1.13088956020824e-06
PI4K2B	1.12714857609784e-06
SLAMF1	1.12646018587103e-06
TNFRSF13B	1.12410443407279e-06
CLTC	1.12377851627681e-06
SMAD3	1.12341422210044e-06
TNF	1.12078404195467e-06
DOCK1	1.1117997398575e-06
ACTA2	1.11108893322743e-06
DVL3	1.10968822317898e-06
UGCG	1.10954145301706e-06
TUBB	1.10477391675377e-06
ANGPT1	1.092155145965e-06
PI4K2A	1.09137491088821e-06
ITGAV	1.09109160465929e-06
BCL10	1.09035842504463e-06
FGF4	1.08797201755146e-06
CYBB	1.08242204939187e-06
PSMA3	1.08114172440584e-06
CD2	1.07823063617475e-06
CXCL10	1.07582960904018e-06
NF2	1.07488206161625e-06
CTNNA1	1.07372619944221e-06
IGFBP5	1.07198909515824e-06
ANTXR1	1.07020756054226e-06
VEGFA	1.06922651233788e-06
FGFR4	1.06762980607786e-06
XPO1	1.06690943859991e-06
PIP5K1A	1.06644721835712e-06
EFNB2	1.05634251478129e-06
GATA1	1.05001478164982e-06
ARHGAP26	1.0478932791479e-06
ZFP36	1.04616917257238e-06
DIAPH3	1.04185581963154e-06
BDNF	1.03455395559881e-06
GLTPD2	1.0336473564951e-06
IL7	1.03364632073901e-06
APOA2	1.03317831884054e-06
TFAP2B	1.02864532814435e-06
COL1A2	1.02834262613991e-06
GZMB	1.02772381533572e-06
CDIPT	1.0268478420685e-06
E2F1	1.0244505009799e-06
P4HA2	1.02305589064664e-06
PRKAR1A	1.02117235593653e-06
FN1	1.01793150413033e-06
PCNA	1.01126362654369e-06
KANSL1	1.00955695324002e-06
BIRC2	1.0086197554847e-06
CHUK	1.00815470137795e-06
FGF19	1.00323838299421e-06
FGF18	1.0013105942442e-06
S100B	1.00126952300678e-06
MYH11	9.9986237877507e-07
ABL2	9.98649409031755e-07
ABCA1	9.97338402626539e-07
FIG4	9.97011236839101e-07
TTI2	9.95158013728752e-07
FGF6	9.94941332076968e-07
EPHB4	9.92004506963578e-07
WASL	9.91132202220986e-07
ARF1	9.87718812608795e-07
PSME3	9.86684689414428e-07
PSMA2	9.85854434427669e-07
NME1	9.85545591722352e-07
DHCR7	9.83550140512097e-07
PPP1R17	9.83106318084997e-07
SLC2A4	9.77916907925607e-07
PLCZ1	9.77910921559624e-07
TK1	9.77868126961867e-07
SH2B2	9.77545970119605e-07
SH3GLB1	9.73237587466241e-07
BIRC5	9.72777579779193e-07
GNB3	9.71094346904709e-07
CCL11	9.69719453973376e-07
FGF22	9.69220683654986e-07
MAP3K1	9.67668177221767e-07
COL8A2	9.67605315019546e-07
PLCB2	9.65853343923344e-07
HSPA8	9.64557816304413e-07
PILRA	9.63598972291963e-07
IL3	9.60309913950493e-07
CXCR1	9.58081782348025e-07
PSMD11	9.56116829971665e-07
CXCL11	9.54221645243808e-07
IL5	9.53958080071759e-07
FNBP1	9.53130790769026e-07
HLA-DRB1	9.5126699143776e-07
TRIP10	9.49599995181744e-07
PPP2CA	9.46741721517831e-07
PIK3R6	9.46685699806875e-07
PRMT5	9.41143460809369e-07
EPHX2	9.36945262811412e-07
RHOG	9.35697436650194e-07
ENO1	9.31236712047213e-07
TUBA1A	9.29906736780913e-07
PRLR	9.28516899009524e-07
TNFSF13	9.24067043938119e-07
SNCA	9.23485205205272e-07
LAMC1	9.2345957197928e-07
WIPF1	9.2282694192098e-07
PPARG	9.21228648620337e-07
ARHGAP32	9.20470727341618e-07
PLN	9.18488371856963e-07
CSNK1D	9.1776556693294e-07
RAN	9.12301852488869e-07
FAM150A	9.12251920485004e-07
CD34	9.10560559879457e-07
IRAK4	9.07916561285548e-07
DAG1	9.04202901446677e-07
SH2D1A	9.03296816698821e-07
ALDH18A1	8.96912990159746e-07
IL12A	8.95144777917559e-07
CSF2	8.94905602830902e-07
SOCS2	8.93064984032281e-07
PSMA1	8.91264551722826e-07
RAI1	8.91099951020721e-07
PIK3CB	8.90656906774508e-07
OSM	8.89409196182613e-07
SPTAN1	8.87176804835191e-07
LTBP4	8.83874321949366e-07
TNFRSF11A	8.80986053373417e-07
GSTCD	8.80574918699661e-07
NTRK3	8.79941785484285e-07
DYNC2H1	8.78222318851312e-07
INPP5B	8.76575559669732e-07
LAIR1	8.76062744605972e-07
PSMD2	8.74727703353231e-07
PRCC	8.73890474619107e-07
RGL1	8.62947303602323e-07
DPP4	8.60518870299272e-07
CCT2	8.56386474008352e-07
SHFM1	8.53012280841723e-07
PLXNB1	8.5032276797484e-07
YIPF6	8.43611723231435e-07
MAPT	8.38999548368674e-07
HLA-DQA1	8.38259431212987e-07
SH3GL2	8.37610250593413e-07
CDK4	8.36742156397211e-07
UBE2I	8.36395359124587e-07
AGTRAP	8.34199885817677e-07
ATR	8.32776326936471e-07
STAP1	8.2979412441953e-07
CRYAB	8.28189836126667e-07
VAMP2	8.27249232276115e-07
ITGB5	8.2531641959143e-07
CD14	8.24054786145009e-07
VIP	8.2106960478192e-07
MLX	8.20139155601634e-07
SELL	8.17643960568662e-07
BNIP2	8.15761282277953e-07
SOS2	8.15377479665988e-07
PIP4K2C	8.15159457971157e-07
IL23R	8.13092055771191e-07
CCL5	8.11504241538912e-07
SST	8.10003471102868e-07
CSF2RA	8.08111111044575e-07
LIMS2	8.07386102080523e-07
LOX	8.04621623121147e-07
ARRB2	8.00535316847834e-07
RBBP8	7.99146561299956e-07
MAPK8	7.97816122219285e-07
ITGAL	7.96892793303451e-07
GOLGA5	7.9672786225186e-07
TRRAP	7.95797505843236e-07
PRKCB	7.92747226984395e-07
HNF4A	7.92603212278564e-07
DES	7.89921911482675e-07
SIN3A	7.89469438004613e-07
EPO	7.88680064412427e-07
GNB2	7.8831775099268e-07
RAB5A	7.8812195705964e-07
IL11RA	7.87614343663339e-07
FNTA	7.87307286426356e-07
MED1	7.8574663819221e-07
PSMC3IP	7.84279731490712e-07
CNTFR	7.83502133739657e-07
MYOC	7.79127989144216e-07
UBC	7.79084056798088e-07
PIP4K2B	7.76018695293803e-07
COL11A1	7.72561716188243e-07
DNM1	7.71502412046902e-07
PIP4K2A	7.71489122076014e-07
BRCA2	7.71031671291421e-07
JUN	7.69755511165525e-07
MYH9	7.69594022925307e-07
AXIN1	7.69298819432671e-07
IL23A	7.68881000808854e-07
RPAIN	7.68529817329156e-07
COL8A1	7.67469166736965e-07
UBR1	7.64914134337595e-07
GAB3	7.64391060587206e-07
MYO1C	7.64140238491271e-07
FZD3	7.62998696174707e-07
NEK2	7.62695789111031e-07
ACTG1	7.62228940488541e-07
VTN	7.59491298705705e-07
YAP1	7.57392214876327e-07
FNTB	7.56939806178296e-07
HERC5	7.5504211564863e-07
HSPA9	7.54366219907644e-07
PPP1R7	7.53256841476986e-07
IFNGR2	7.52446077817036e-07
GNPTAB	7.52429422339455e-07
EDARADD	7.52277921947956e-07
YWHAE	7.52229685925716e-07
ANOS1	7.52033361502285e-07
RAC3	7.49018491004753e-07
PPP2R1B	7.48180276128744e-07
DOK4	7.4660407562325e-07
VHL	7.45673247769296e-07
RIN2	7.42734540399324e-07
TRIM25	7.40887315018951e-07
RBX1	7.39015416451991e-07
IPCEF1	7.38033800096573e-07
PSMD3	7.36273954962206e-07
YBX1	7.34851254751165e-07
CCND2	7.34465091562332e-07
IGFBP3	7.33611855066485e-07
VCP	7.31723067348645e-07
SHC4	7.30072683736747e-07
